NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-7d7b64c65d-6kg49   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-8xzms   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-946lc   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-bf548   1/1     Running   0          24m
bloaty-mcbloatface-7d7b64c65d-g25fk   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-lf9kt   1/1     Running   0          24m
bloaty-mcbloatface-7d7b64c65d-nbm65   1/1     Running   0          24m
bloaty-mcbloatface-7d7b64c65d-p8tz2   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-rt28q   1/1     Running   0          24m
bloaty-mcbloatface-7d7b64c65d-sjqkt   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-t5zh6   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-tcnwr   1/1     Running   0          24m
bloaty-mcbloatface-7d7b64c65d-wf7wp   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-wrjqf   1/1     Running   0          24m
bloaty-mcbloatface-7d7b64c65d-xg56s   1/1     Running   0          42m
bloaty-mcbloatface-7d7b64c65d-zcp5h   1/1     Running   0          24m
bloaty-mcbloatface-7d7b64c65d-zszgq   1/1     Running   0          42m
